Job Title,Annual Mean,PRSE
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","26,260",1.6
"Food Preparation and Serving Related Workers, All Other","27,730",2.8
Building and Grounds Cleaning and Maintenance Occupations,"35,540",0.9
First-Line Supervisors of Housekeeping and Janitorial Workers,"54,230",1.6
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","58,350",2.4
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","34,420",1.1
Maids and Housekeeping Cleaners,"34,410",2
"Building Cleaning Workers, All Other","39,890",9.6
Pest Control Workers,"39,710",3.9
Landscaping and Groundskeeping Workers,"33,720",1.3
"Pesticide Handlers, Sprayers, and Applicators, Vegetation","33,870",5.1
Tree Trimmers and Pruners,"54,930",2.9
"Grounds Maintenance Workers, All Other","26,930",5.1
Personal Care and Service Occupations,"32,050",1.1
First-Line Supervisors of Gaming Workers,"52,970",6.9
First-Line Supervisors of Personal Service Workers,"46,620",1.7
Animal Trainers,"38,130",6.4
Nonfarm Animal Caretakers,"28,610",2
Gaming and Sports Book Writers and Runners,"34,310",16
Motion Picture Projectionists,"34,530",13.1
"Ushers, Lobby Attendants, and Ticket Takers","25,690",2
Amusement and Recreation Attendants,"24,550",1.5
Costume Attendants,"63,630",9.4
"Locker Room, Coatroom, and Dressing Room Attendants","27,290",2.3
"Entertainment Attendants and Related Workers, All Other","31,510",7.2
Funeral Attendants,"32,430",5.2
"Morticians, Undertakers, and Funeral Directors","64,650",6.2
Barbers,"27,900",6.9
"Hairdressers, Hairstylists, and Cosmetologists","35,790",4.5
"Makeup Artists, Theatrical and Performance","75,930",5.2
Manicurists and Pedicurists,"23,420",2.4
Shampooers,"22,160",2.7
Skincare Specialists,"38,050",5.7
Baggage Porters and Bellhops,"31,160",3.2
Concierges,"42,400",3
Tour and Travel Guides,"36,480",5.8
Childcare Workers,"28,250",3.2
Personal Care Aides,"25,890",0.8
Fitness Trainers and Aerobics Instructors,"63,520",2.6
Recreation Workers,"32,600",1.4
Residential Advisors,"35,930",2.5
"Personal Care and Service Workers, All Other","28,610",4.4
Sales and Related Occupations,"53,740",1.7
First-Line Supervisors of Retail Sales Workers,"51,480",1.3
First-Line Supervisors of Non-Retail Sales Workers,"108,790",2.1
Cashiers,"23,740",1.8
Gaming Change Persons and Booth Cashiers,"37,950",8.9
Counter and Rental Clerks,"30,910",2.6
Parts Salespersons,"37,640",2.4
Retail Salespersons,"27,980",1.1
Advertising Sales Agents,"86,190",2.2
Insurance Sales Agents,"86,840",3.4
"Securities, Commodities, and Financial Services Sales Agents","159,720",2.9
Travel Agents,"41,700",4.8
"Sales Representatives, Services, All Other","79,760",1.4
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","103,870",3.5
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","75,280",1.4
Demonstrators and Product Promoters,"34,690",5.9
Models,"32,090",10.3
Real Estate Brokers,"99,300",10.9
Real Estate Sales Agents,"93,570",5.2
Sales Engineers,"111,330",2.6
Telemarketers,"28,470",3.1
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","30,520",11.9
"Sales and Related Workers, All Other","49,460",2.7
Office and Administrative Support Occupations,"43,870",0.4
First-Line Supervisors of Office and Administrative Support Workers,"70,290",0.7
"Switchboard Operators, Including Answering Service","38,080",2
Telephone Operators,"47,730",4.7
"Communications Equipment Operators, All Other","52,850",2.6
Bill and Account Collectors,"47,240",1.8
Billing and Posting Clerks,"44,110",0.9
"Bookkeeping, Accounting, and Auditing Clerks","46,900",0.6
Gaming Cage Workers,"32,760",11.8
Payroll and Timekeeping Clerks,"48,900",1.2
Procurement Clerks,"45,690",1.4
Tellers,"31,140",0.9
"Financial Clerks, All Other","48,870",3.4
Brokerage Clerks,"62,700",1.5
Correspondence Clerks,"44,870",2.1
"Court, Municipal, and License Clerks","59,960",1
"Credit Authorizers, Checkers, and Clerks","46,060",1.4
Customer Service Representatives,"41,750",0.7
"Eligibility Interviewers, Government Programs",*,*
File Clerks,"33,060",1.2
"Hotel, Motel, and Resort Desk Clerks","34,180",3.2
"Interviewers, Except Eligibility and Loan","39,550",1.4
"Library Assistants, Clerical","32,300",2.1
Loan Interviewers and Clerks,"43,910",1.8
New Accounts Clerks,"46,030",6.1
Order Clerks,"34,910",2.6
"Human Resources Assistants, Except Payroll and Timekeeping","45,080",1.3
Receptionists and Information Clerks,"33,760",0.7
Reservation and Transportation Ticket Agents and Travel Clerks,"40,630",3.4
"Information and Record Clerks, All Other","46,020",2
Cargo and Freight Agents,"46,810",2.6
Couriers and Messengers,"33,740",4.5
"Police, Fire, and Ambulance Dispatchers","47,480",1.5
"Dispatchers, Except Police, Fire, and Ambulance","48,880",5.5
"Meter Readers, Utilities",*,*
Postal Service Clerks,"52,220",0.9
Postal Service Mail Carriers,"50,700",0.9
"Postal Service Mail Sorters, Processors, and Processing Machine Operators","50,560",1.5
"Production, Planning, and Expediting Clerks","52,440",0.8
"Shipping, Receiving, and Traffic Clerks","36,090",1.1
Stock Clerks and Order Fillers,"28,020",0.7
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","35,740",2.3
Executive Secretaries and Executive Administrative Assistants,"71,840",0.7
Legal Secretaries,"57,170",2.4
Medical Secretaries,"43,050",1.6
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","41,480",0.7
Computer Operators,"45,130",2.8
Data Entry Keyers,"37,960",1.2
Word Processors and Typists,"45,730",1.8
Desktop Publishers,"56,010",4.5
Insurance Claims and Policy Processing Clerks,"49,290",1.5
"Mail Clerks and Mail Machine Operators, Except Postal Service","34,540",2.2
"Office Clerks, General","34,690",0.6
"Office Machine Operators, Except Computer","34,780",2.2
Proofreaders and Copy Markers,"44,830",3.1
Statistical Assistants,"55,410",3
"Office and Administrative Support Workers, All Other","38,780",3.7
"Farming, Fishing, and Forestry Occupations","35,600",2
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","54,730",3.8
Agricultural Inspectors,"60,670",1.8
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","32,540",3.8
"Farmworkers, Farm, Ranch, and Aquacultural Animals","29,350",5.8
"Agricultural Workers, All Other","24,910",20.5
Forest and Conservation Workers,"35,710",3.9
Construction and Extraction Occupations,"67,880",0.9
First-Line Supervisors of Construction Trades and Extraction Workers,"89,670",1.1
Boilermakers,"64,780",8.7
Brickmasons and Blockmasons,"76,130",3.9
Stonemasons,"49,200",12.3
Carpenters,"67,690",1.5
Carpet Installers,"46,050",13.1
"Floor Layers, Except Carpet, Wood, and Hard Tiles","56,310",11.3
Floor Sanders and Finishers,"34,110",23.1
Tile and Marble Setters,"76,830",7.4
Cement Masons and Concrete Finishers,"74,960",2.4
Construction Laborers,"52,910",1.5
"Paving, Surfacing, and Tamping Equipment Operators","66,060",12.7
Pile-Driver Operators,*,*
Operating Engineers and Other Construction Equipment Operators,"85,000",1.9
Drywall and Ceiling Tile Installers,"61,350",7.6
Tapers,"63,840",5.7
Electricians,"79,600",2.8
Glaziers,"62,050",4.5
"Insulation Workers, Floor, Ceiling, and Wall","44,600",8.9
"Insulation Workers, Mechanical","103,170",4.7
"Painters, Construction and Maintenance","52,490",4.5
Paperhangers,"54,040",16
Pipelayers,"60,120",6.9
"Plumbers, Pipefitters, and Steamfitters","80,240",2.5
Plasterers and Stucco Masons,"68,950",10.5
Reinforcing Iron and Rebar Workers,"91,110",4.2
Roofers,"68,410",6.6
Sheet Metal Workers,"70,080",7.1
Structural Iron and Steel Workers,"89,910",3.2
Solar Photovoltaic Installers,"43,730",2.9
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","43,870",7.7
Helpers--Carpenters,"30,710",5.5
Helpers--Electricians,"37,240",3.9
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","33,090",12.5
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","40,180",3.7
Helpers--Roofers,"25,440",12.4
"Helpers, Construction Trades, All Other","33,250",4.5
Construction and Building Inspectors,"69,980",1.8
Elevator Installers and Repairers,"81,070",3.8
Fence Erectors,"36,280",13.2
Hazardous Materials Removal Workers,"65,260",2.9
Highway Maintenance Workers,"49,290",1.4
Rail-Track Laying and Maintenance Equipment Operators,"70,230",4
Septic Tank Servicers and Sewer Pipe Cleaners,"47,910",4.2
Miscellaneous Construction and Related Workers,"51,510",13.9
"Earth Drillers, Except Oil and Gas","69,970",6.1
"Explosives Workers, Ordnance Handling Experts, and Blasters","68,700",9.4
"Rock Splitters, Quarry","32,360",11.5
Helpers--Extraction Workers,"35,030",15.5
"Installation, Maintenance, and Repair Occupations","54,630",0.8
"First-Line Supervisors of Mechanics, Installers, and Repairers","81,450",0.8
"Computer, Automated Teller, and Office Machine Repairers","45,510",2.5
"Radio, Cellular, and Tower Equipment Installers and Repairers","69,800",4.3
"Telecommunications Equipment Installers and Repairers, Except Line Installers","67,480",2.1
Avionics Technicians,"66,800",3.1
"Electric Motor, Power Tool, and Related Repairers","50,330",6.4
"Electrical and Electronics Installers and Repairers, Transportation Equipment","66,450",5.5
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","64,750",2.3
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","79,540",3.2
"Electronic Equipment Installers and Repairers, Motor Vehicles","42,590",6.4
Electronic Home Entertainment Equipment Installers and Repairers,"38,470",6.2
Security and Fire Alarm Systems Installers,"51,470",4.8
Aircraft Mechanics and Service Technicians,"67,510",2
Automotive Body and Related Repairers,"48,170",2.6
Automotive Glass Installers and Repairers,"34,660",13.1
Automotive Service Technicians and Mechanics,"46,760",2
Bus and Truck Mechanics and Diesel Engine Specialists,"58,470",2.2
Farm Equipment Mechanics and Service Technicians,"51,990",7.1
"Mobile Heavy Equipment Mechanics, Except Engines","62,460",2.6
Rail Car Repairers,"80,210",4.7
Motorboat Mechanics and Service Technicians,"45,570",6.5
Motorcycle Mechanics,"41,390",2.7
Outdoor Power Equipment and Other Small Engine Mechanics,"43,240",3.1
Bicycle Repairers,"34,920",9.2
Recreational Vehicle Service Technicians,"39,700",7.9
Tire Repairers and Changers,"27,950",2.9
Mechanical Door Repairers,"46,770",3.4
"Control and Valve Installers and Repairers, Except Mechanical Door","74,580",2.9
